DBN,District,School,SAT Score,SAT Test Takers,Percent AP Test Takers,Percent AP Tests Taken,Total Enrollment,Class Size,Percent Male,Percent White,Percent Black,Percent Hispanic,Percent Asian,Percent ELL,Teacher Safety,Student Safety,Lat,Lon
01M292,1,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,1122,29,30.6,46.7,422,22.6,61.4,1.7,29.1,53.8,14.0,22.3,6.3,6.0,40.7138,-73.9853
01M448,1,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,1172,91,9.9,12.4,394,22.2,57.4,2.3,22.6,45.9,29.2,21.1,6.6,6.0,40.7123,-73.9848
01M450,1,EAST SIDE COMMUNITY SCHOOL,1149,70,3.2,3.5,598,21.2,54.7,10.4,23.9,55.4,9.7,5.0,7.3,6.6,40.7298,-73.983
01M509,1,MARTA VALLE HIGH SCHOOL,1207,44,35.1,53.7,367,23.6,46.3,1.6,31.6,56.9,9.3,11.2,6.4,6.4,40.7206,-73.9857
01M539,1,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",1621,159,15.8,23.4,1613,25.5,49.2,44.9,11.7,14.2,27.8,0.2,7.6,7.3,40.7187,-73.9794
01M696,1,BARD HIGH SCHOOL EARLY COLLEGE,1856,130,20.9,31.9,617,21.0,31.3,49.8,15.1,18.2,15.1,0.2,8.2,8.3,40.719,-73.9761
02M047,2,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,1182,16,74.1,113.2,174,16.1,42.5,6.3,32.2,59.2,1.7,8.0,8.1,7.3,40.7386,-73.9825
02M288,2,FOOD AND FINANCE HIGH SCHOOL,1194,62,29.8,45.5,433,22.7,45.0,4.8,44.1,47.6,3.0,2.1,7.3,6.2,40.765,-73.9925
02M294,2,ESSEX STREET ACADEMY,1156,53,37.6,57.4,343,14.9,53.4,7.6,27.7,60.6,4.1,3.8,8.0,7.4,40.7169,-73.9895
02M296,2,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,1111,58,30.8,47.0,419,23.0,32.2,2.1,26.5,66.1,5.3,9.5,8.6,7.1,40.765,-73.9925
02M298,2,PACE HIGH SCHOOL,1293,85,5.1,5.1,414,21.3,43.7,3.9,32.4,42.0,10.1,2.2,6.6,6.6,40.7164,-73.9927
02M300,2,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",1269,48,23.0,27.1,431,22.6,74.9,4.9,29.2,59.2,6.0,10.9,7.3,6.5,40.765,-73.9925
02M303,2,"FACING HISTORY SCHOOL, THE",1051,76,9.3,9.8,451,21.9,50.6,2.4,23.5,73.2,0.7,20.8,7.4,7.0,40.765,-73.9925
02M305,2,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",1148,50,8.0,11.9,312,20.8,43.9,3.5,41.7,50.6,3.8,6.1,5.4,6.0,40.7169,-73.9895
02M308,2,LOWER MANHATTAN ARTS ACADEMY,1200,40,38.4,58.6,336,23.2,39.9,3.6,30.7,55.7,9.5,3.9,7.4,6.6,40.7169,-73.9895
02M316,2,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",1127,42,34.1,52.1,378,26.3,0.0,1.3,46.8,48.4,3.4,2.6,7.0,6.8,40.7052,-74.0133
02M374,2,GRAMERCY ARTS HIGH SCHOOL,1176,60,26.1,39.8,495,27.2,26.3,6.7,45.3,45.1,2.8,3.0,6.4,6.1,40.7355,-73.9876
02M376,2,NYC ISCHOOL,1435,92,29.8,45.5,433,37.0,48.7,24.0,20.6,43.0,11.5,0.5,7.7,7.8,40.7244,-74.0048
02M392,2,MANHATTAN BUSINESS ACADEMY,1223,s,38.9,59.3,332,25.3,59.0,4.8,29.5,58.7,6.6,9.9,7.4,6.9,40.7429,-74.0021
02M393,2,BUSINESS OF SPORTS SCHOOL,1223,s,42.4,64.8,304,22.1,72.4,4.3,35.5,57.2,1.6,7.6,6.2,6.2,40.7634,-73.9905
02M399,2,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,1223,s,52.9,80.7,244,17.9,48.0,5.3,15.6,32.8,44.3,28.3,6.3,6.6,40.7355,-73.9876
02M400,2,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,1419,263,15.3,21.4,1394,30.6,50.4,11.1,14.8,57.2,16.7,7.1,7.3,7.1,40.7678,-73.9875
02M408,2,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,1522,94,4.0,4.0,502,29.0,25.3,41.8,19.1,23.7,7.0,2.0,7.8,7.1,40.7614,-73.988
02M411,2,BARUCH COLLEGE CAMPUS HIGH SCHOOL,1577,104,18.1,26.6,432,26.6,44.0,18.8,5.8,14.6,60.6,1.6,8.0,7.8,40.744,-73.9915
02M412,2,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,1677,114,19.7,24.2,579,32.6,47.0,45.9,8.5,14.0,29.4,1.6,7.8,7.5,40.7421,-74.0021
02M414,2,N.Y.C. MUSEUM SCHOOL,1419,103,29.6,45.2,436,27.7,42.4,15.4,11.7,39.9,33.0,0.5,6.8,7.1,40.7421,-74.0021
02M416,2,ELEANOR ROOSEVELT HIGH SCHOOL,1758,127,30.6,46.4,507,27.4,32.5,63.7,5.5,11.6,17.2,0.2,8.2,8.1,40.7701,-73.9534
02M418,2,MILLENNIUM HIGH SCHOOL,1614,144,13.7,15.2,626,29.2,38.2,35.9,8.8,21.7,30.0,0.2,8.6,7.5,40.7049,-74.0115
02M419,2,LANDMARK HIGH SCHOOL,1170,62,30.6,46.8,421,23.2,48.5,1.9,18.1,74.8,5.2,15.7,7.2,6.7,40.7429,-74.0021
02M420,2,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,1306,336,11.5,14.0,1768,32.2,29.4,5.3,24.4,49.7,20.5,4.0,7.7,6.5,40.7325,-73.9831
02M425,2,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,1233,84,11.5,13.8,607,28.0,46.1,6.6,30.5,54.2,8.1,5.4,6.8,6.1,40.7091,-74.0121
02M427,2,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,1223,s,73.7,112.6,175,23.0,54.9,1.1,8.0,84.6,6.3,86.9,9.0,7.7,40.7461,-73.98100000000001
02M437,2,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,1223,s,57.1,87.2,226,28.0,60.6,6.6,23.5,62.4,5.8,8.8,8.7,7.0,40.7429,-74.0021
02M438,2,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,1223,s,73.3,111.9,176,24.5,61.4,3.4,12.5,43.2,40.3,94.9,8.1,7.5,40.7355,-73.9876
02M439,2,MANHATTAN VILLAGE ACADEMY,1372,95,9.8,16.1,429,21.4,38.5,4.9,16.8,71.8,6.3,3.7,8.7,7.6,40.7415,-73.9914
02M449,2,VANGUARD HIGH SCHOOL,1199,72,29.1,44.4,444,19.2,46.2,4.5,25.7,59.0,9.9,6.1,7.8,7.0,40.7654,-73.9602
02M459,2,MANHATTAN INTERNATIONAL HIGH SCHOOL,1227,49,3.7,3.7,325,20.3,44.3,14.5,14.8,36.9,33.5,77.5,7.7,7.8,40.7654,-73.9602
02M475,2,STUYVESANT HIGH SCHOOL,2096,832,45.8,85.5,3297,31.1,59.3,23.7,1.2,2.4,72.1,0.0,7.2,7.5,40.7177,-74.014
02M489,2,HIGH SCHOOL OF ECONOMICS AND FINANCE,1374,167,12.5,21.8,809,27.3,54.5,8.8,22.5,43.5,24.8,6.3,8.7,6.6,40.7092,-74.012
02M500,2,UNITY CENTER FOR URBAN TECHNOLOGIES,1070,25,54.4,83.1,237,25.0,62.4,2.5,35.0,55.3,3.8,15.6,7.5,7.9,40.7461,-73.98100000000001
02M519,2,TALENT UNLIMITED HIGH SCHOOL,1416,81,6.1,6.9,491,25.8,21.4,19.8,36.0,39.3,4.5,0.2,6.9,7.0,40.7654,-73.9602
02M520,2,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,1240,264,5.7,7.6,2073,27.0,49.1,2.3,39.9,46.6,10.5,10.2,5.5,5.7,40.7107,-74.0008
02M529,2,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,1239,131,11.0,16.3,724,26.0,40.6,1.8,22.7,69.9,5.1,9.8,6.6,7.1,40.7578,-73.9832
02M531,2,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,1253,42,59.4,90.8,217,23.9,21.2,7.4,47.9,42.4,1.4,0.5,5.9,5.9,40.7559,-73.9846
02M542,2,MANHATTAN BRIDGES HIGH SCHOOL,1058,66,12.4,18.9,541,23.5,51.4,0.0,0.0,99.8,0.2,72.6,7.6,7.2,40.765,-73.9925
02M543,2,NEW DESIGN HIGH SCHOOL,1168,73,30.5,46.6,423,22.6,38.3,2.6,30.3,62.2,3.8,5.4,7.3,7.0,40.7169,-73.9895
02M545,2,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,1424,78,17.3,27.2,353,21.8,51.3,2.3,3.4,4.0,89.5,38.2,7.5,6.6,40.7169,-73.9895
02M551,2,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,1212,77,1.6,1.6,430,24.0,60.9,10.2,37.4,49.3,2.3,4.2,6.4,6.8,40.6908,-74.0198
02M580,2,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,1195,84,11.0,19.2,610,26.1,32.6,2.3,35.1,59.3,2.3,6.4,7.8,6.6,40.7052,-74.0133
02M600,2,THE HIGH SCHOOL OF FASHION INDUSTRIES,1257,335,4.4,5.4,1599,30.6,7.3,4.1,39.1,52.3,3.8,2.8,7.4,6.5,40.7451,-73.9959
02M605,2,HUMANITIES PREPARATORY ACADEMY,1255,36,67.2,102.6,192,23.8,42.7,11.5,21.9,57.8,7.3,1.0,7.4,7.0,40.7429,-74.0021
02M615,2,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1207,83,11.2,20.8,466,25.2,65.0,1.5,29.6,60.5,7.1,6.2,7.0,6.5,40.7244,-74.0048
02M630,2,ART AND DESIGN HIGH SCHOOL,1315,270,6.2,7.4,1344,28.9,46.7,12.6,26.8,51.0,9.0,1.6,8.1,6.7,40.7654,-73.9818
02M655,2,LIFE SCIENCES SECONDARY SCHOOL,1236,61,7.0,12.6,717,23.9,51.6,2.4,28.6,64.3,3.3,7.9,7.3,5.9,40.7836,-73.9457
03M299,3,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",1132,49,30.9,47.1,418,24.1,55.7,1.4,37.3,58.9,1.0,14.4,6.5,6.5,40.7743,-73.9848
03M307,3,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",1144,41,35.2,53.8,366,19.8,57.9,3.0,37.4,56.0,2.2,12.8,7.8,6.9,40.7743,-73.9848
03M402,3,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,1223,s,45.6,69.6,283,10.0,56.9,1.8,19.8,76.0,1.8,25.1,4.4,6.3,40.7857,-73.9744
03M403,3,THE GLOBAL LEARNING COLLABORATIVE,1223,s,36.0,55.0,358,25.0,51.4,5.9,27.7,62.6,3.6,19.3,7.2,7.0,40.7857,-73.9744
03M415,3,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,1109,32,12.6,14.1,516,23.6,38.4,0.8,59.9,38.8,0.4,7.4,6.1,6.0,40.8022,-73.954
03M417,3,FRANK MCCOURT HIGH SCHOOL,1223,s,58.9,90.0,219,25.0,46.6,37.0,18.3,37.0,6.8,0.9,6.9,7.3,40.7857,-73.9744
03M479,3,BEACON HIGH SCHOOL,1744,261,14.3,17.0,1162,30.8,39.0,49.8,14.6,22.8,8.9,0.2,7.5,7.8,40.7722,-73.9878
03M485,3,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,1707,531,26.5,47.4,2605,31.3,26.4,49.2,12.9,16.6,19.6,0.2,7.8,7.1,40.7737,-73.9853
03M492,3,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",1196,66,23.8,36.4,541,23.4,40.1,1.8,46.2,48.1,1.3,10.5,6.7,6.2,40.7743,-73.9848
03M494,3,HIGH SCHOOL OF ARTS AND TECHNOLOGY,1277,75,6.3,6.3,603,28.1,67.7,2.3,34.8,57.2,5.0,10.4,5.6,6.4,40.7743,-73.9848
03M541,3,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,1446,111,28.5,43.5,453,21.6,41.1,10.2,21.4,41.5,25.6,1.3,8.1,7.3,40.7743,-73.9848
03M860,3,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,1096,43,2.7,2.7,413,21.9,54.2,1.5,77.7,18.9,0.7,5.8,5.5,5.8,40.8022,-73.954
04M409,4,COALITION SCHOOL FOR SOCIAL CHANGE,1084,48,5.2,5.2,349,21.3,44.4,0.9,39.3,58.7,0.9,9.7,8.5,6.6,40.7989,-73.9334
04M435,4,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,1430,375,19.9,25.8,1650,31.1,46.4,2.2,19.7,57.4,20.1,2.7,7.2,6.6,40.7937,-73.9341
04M495,4,PARK EAST HIGH SCHOOL,1128,51,37.0,56.4,349,19.0,42.1,0.3,33.2,59.6,4.9,4.3,7.6,7.0,40.7906,-73.9445
04M555,4,CENTRAL PARK EAST HIGH SCHOOL,1221,73,29.0,44.3,445,25.2,32.1,1.6,26.7,64.5,6.5,4.0,8.0,6.6,40.7937,-73.9494
04M610,4,YOUNG WOMEN'S LEADERSHIP SCHOOL,1326,70,9.1,12.2,449,25.7,0.0,1.6,31.2,60.1,5.1,2.2,8.9,7.5,40.7927,-73.9473
04M610,4,YOUNG WOMEN'S LEADERSHIP SCHOOL,1326,70,28.7,43.9,449,25.7,0.0,1.6,31.2,60.1,5.1,2.2,8.9,7.5,40.7927,-73.9473
04M680,4,"HERITAGE SCHOOL, THE",1054,31,43.9,67.0,294,20.7,48.6,1.0,28.9,69.4,0.3,6.8,6.0,6.4,40.7919,-73.9466
05M304,5,MOTT HALL HIGH SCHOOL,1210,54,2.6,2.6,426,25.6,53.5,0.2,35.0,63.8,0.9,8.7,7.2,6.2,40.8174,-73.9477
05M362,5,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",1223,s,27.2,41.6,474,25.4,49.6,18.4,20.0,48.5,11.6,0.6,7.3,6.9,40.8109,-73.9569
05M367,5,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,1062,33,4.0,4.0,425,23.4,48.7,0.0,61.4,38.1,0.5,9.9,6.2,5.7,40.8152,-73.9552
05M369,5,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,1077,56,34.5,52.7,374,24.2,25.4,0.8,59.1,38.2,0.5,6.1,5.4,5.2,40.8152,-73.9552
05M499,5,FREDERICK DOUGLASS ACADEMY,1374,214,10.5,14.5,1556,26.7,52.2,1.3,74.4,22.8,1.2,2.4,6.4,5.7,40.8243,-73.937
05M670,5,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,1202,66,6.4,6.6,580,23.0,44.1,0.2,78.1,20.9,0.2,1.4,6.9,6.7,40.8154,-73.9439
05M692,5,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",1847,101,28.1,30.5,406,21.7,65.8,26.1,15.0,21.2,36.2,0.0,8.6,7.8,40.8211,-73.9488
06M293,6,CITY COLLEGE ACADEMY OF THE ARTS,1270,60,22.0,33.6,586,23.6,39.6,1.2,6.0,92.0,0.7,6.1,8.5,7.8,40.8611,-73.9305
06M346,6,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,1105,55,24.8,37.9,520,27.1,52.3,0.8,5.2,93.8,0.2,30.0,6.8,6.4,40.8336,-73.9418
06M348,6,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,1174,70,21.4,32.7,602,28.1,55.8,0.3,2.3,96.7,0.0,19.6,8.5,7.5,40.8489,-73.9308
06M423,6,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,1223,s,72.5,110.7,178,17.0,52.8,0.0,25.8,72.5,0.0,19.7,8.2,7.6,40.866,-73.9249
06M462,6,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,1127,76,17.1,21.4,630,26.0,63.8,1.4,5.2,91.4,0.5,43.0,7.2,7.1,40.8559,-73.92699999999999
06M463,6,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,1098,63,6.5,11.2,572,23.4,63.5,0.5,10.7,87.1,1.0,26.9,7.4,6.4,40.8559,-73.92699999999999
06M467,6,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,1102,94,20.3,30.5,694,25.0,58.6,1.3,13.0,84.4,1.0,32.0,6.9,6.5,40.8559,-73.92699999999999
06M468,6,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,1224,24,4.7,5.6,679,27.6,52.7,1.0,13.7,83.8,0.7,31.2,7.0,6.4,40.8559,-73.92699999999999
06M540,6,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,1309,228,12.8,17.3,1285,30.0,49.9,0.7,32.8,62.3,4.0,2.3,5.9,6.1,40.8183,-73.9506
06M552,6,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,1014,56,18.6,29.2,472,25.4,48.9,0.0,0.0,99.8,0.0,89.6,8.5,7.7,40.838,-73.9384
07X221,7,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,1090,65,10.1,14.3,622,21.4,47.4,0.5,29.9,68.8,0.6,8.8,6.6,7.1,40.814,-73.9208
07X334,7,INTERNATIONAL COMMUNITY HIGH SCHOOL,945,34,32.8,50.1,393,16.2,48.6,2.0,20.1,71.8,4.8,90.1,7.8,7.3,40.81,-73.9178
07X427,7,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,1077,43,40.4,61.8,319,22.6,49.2,0.9,32.3,65.5,0.6,13.2,8.0,7.2,40.8161,-73.9303
07X473,7,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,1097,63,35.5,54.3,363,24.3,50.1,0.0,22.6,76.0,1.1,9.6,6.7,6.9,40.8182,-73.9111
07X495,7,UNIVERSITY HEIGHTS SECONDARY SCHOOL,1201,79,27.7,42.4,465,26.9,43.2,1.3,18.1,78.1,2.6,3.7,8.2,7.2,40.8182,-73.9111
07X500,7,HOSTOSsLINCOLN ACADEMY OF SCIENCE,1257,66,11.9,19.9,538,21.4,45.2,0.7,24.0,72.7,2.0,5.6,7.2,6.8,40.815,-73.9125
07X520,7,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,1186,64,4.2,4.2,311,23.2,45.3,1.0,26.0,68.8,3.2,21.9,7.1,6.0,40.8111,-73.9098
07X527,7,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,1103,62,6.0,6.0,502,24.4,54.0,1.0,41.2,56.0,1.4,14.1,5.6,6.7,40.8228,-73.9235
07X547,7,NEW EXPLORERS HIGH SCHOOL,1084,28,4.7,4.7,383,24.2,57.7,0.5,30.3,68.1,0.5,15.7,7.5,7.7,40.8228,-73.9235
07X548,7,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,1181,44,27.0,41.3,477,25.5,84.3,0.4,26.6,70.4,0.4,5.0,7.2,7.2,40.8228,-73.9235
07X551,7,BRONX ACADEMY OF LETTERS,1201,51,9.5,16.6,555,23.1,44.5,0.9,34.1,64.3,0.5,9.4,6.6,6.3,40.8134,-73.9255
07X600,7,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1158,76,1.5,1.5,738,27.3,92.7,0.7,35.9,61.5,1.4,9.1,6.0,5.7,40.8182,-73.9197
07X670,7,HEALTH OPPORTUNITIES HIGH SCHOOL,1095,114,10.4,19.9,587,25.7,28.6,0.5,39.2,56.9,3.1,10.4,6.1,6.3,40.8161,-73.9303
08X269,8,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,1223,s,25.8,39.4,500,27.2,44.0,1.0,22.4,74.8,1.2,9.2,6.4,6.6,40.8206,-73.8931
08X282,8,WOMEN'S ACADEMY OF EXCELLENCE,1171,44,5.5,5.8,379,22.0,0.3,2.4,45.9,46.4,2.9,2.6,7.3,6.3,40.8149,-73.8566
08X293,8,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,1158,52,4.7,6.2,469,25.8,38.0,7.7,25.4,63.8,2.6,4.5,7.8,6.9,40.8405,-73.8381
08X305,8,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,1038,67,35.9,54.9,359,19.7,66.0,1.4,26.2,69.9,2.5,15.9,6.4,6.3,40.8223,-73.85600000000001
08X312,8,MILLENNIUM ART ACADEMY,1164,67,7.1,11.1,496,28.2,49.2,1.0,32.5,64.3,1.8,5.4,7.8,6.4,40.8223,-73.85600000000001
08X332,8,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,1084,39,6.0,8.4,333,19.7,49.2,0.6,39.9,56.8,0.9,12.6,6.9,6.8,40.8174,-73.898
08X376,8,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",1223,s,29.9,45.6,432,23.5,47.0,0.7,27.8,66.0,4.9,7.4,5.1,5.6,40.8223,-73.85600000000001
08X405,8,HERBERT H. LEHMAN HIGH SCHOOL,1241,415,12.0,14.8,3593,27.5,61.1,9.0,23.0,60.6,6.8,9.2,6.3,5.5,40.8405,-73.8381
08X432,8,BRONX BRIDGES HIGH SCHOOL,1223,s,83.2,127.1,155,19.1,52.3,2.6,8.4,83.2,5.2,79.4,9.3,6.9,40.8223,-73.85600000000001
08X519,8,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",1099,68,35.5,54.3,363,24.0,43.0,0.6,21.8,76.0,1.4,14.0,7.3,5.7,40.8212,-73.8811
08X530,8,BANANA KELLY HIGH SCHOOL,1131,54,28.6,43.7,451,25.3,49.9,1.1,32.6,65.4,0.7,13.5,7.6,7.0,40.8174,-73.898
09X227,9,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,1049,39,36.3,55.5,355,22.7,50.1,0.8,27.9,69.3,1.1,29.3,7.5,6.5,40.8404,-73.9108
09X231,9,EAGLE ACADEMY FOR YOUNG MEN,1134,78,5.8,8.0,550,25.5,100.0,0.5,63.1,33.8,0.7,4.0,6.7,5.8,40.8452,-73.89699999999999
09X241,9,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",1290,80,2.6,2.6,606,21.5,49.3,1.5,32.0,63.4,2.6,9.4,7.5,6.8,40.8393,-73.9013
09X250,9,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,1169,50,25.3,41.0,356,24.6,46.6,0.3,40.7,58.1,0.6,8.1,6.7,7.3,40.8337,-73.9024
09X252,9,MOTT HALL BRONX HIGH SCHOOL,1092,67,36.4,55.6,354,27.7,45.8,0.8,24.3,73.7,1.1,8.8,6.6,6.6,40.8393,-73.9013
09X260,9,BRONX CENTER FOR SCIENCE AND MATHEMATICS,1396,81,14.0,18.0,444,22.7,46.2,1.1,24.3,68.7,5.9,1.6,7.7,7.1,40.8337,-73.9024
09X263,9,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,1075,74,1.9,1.9,365,26.3,44.1,0.3,34.2,63.8,1.1,12.1,7.9,7.6,40.8393,-73.9013
09X276,9,LEADERSHIP INSTITUTE,1081,30,7.4,7.4,230,22.1,52.2,1.3,33.0,63.5,1.7,16.5,6.7,7.1,40.8413,-73.898
09X297,9,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,1148,38,28.7,43.8,450,22.8,53.8,0.4,26.0,73.1,0.4,19.1,6.8,6.4,40.8276,-73.9045
09X324,9,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,1223,s,26.2,40.0,493,28.0,48.5,0.2,32.0,64.5,3.0,11.0,6.6,6.7,40.8287,-73.9178
09X329,9,DREAMYARD PREPARATORY SCHOOL,1138,51,4.3,4.3,349,22.9,44.1,0.3,26.9,69.9,0.0,24.4,6.1,6.0,40.8404,-73.9108
09X365,9,ACADEMY FOR LANGUAGE AND TECHNOLOGY,951,54,6.0,6.0,336,23.7,48.8,0.0,0.6,99.4,0.0,86.6,6.9,7.5,40.8491,-73.9161
09X403,9,BRONX INTERNATIONAL HIGH SCHOOL,965,49,32.0,48.9,403,15.6,45.7,3.7,22.8,72.2,1.0,87.1,6.8,7.0,40.8276,-73.9045
09X404,9,SCHOOL FOR EXCELLENCE,1074,32,33.4,51.0,386,24.3,52.3,0.0,34.5,64.5,0.3,20.7,6.7,6.9,40.8276,-73.9045
09X412,9,BRONX HIGH SCHOOL OF BUSINESS,1083,34,6.5,7.7,401,23.2,54.9,0.5,38.7,59.9,0.7,23.2,5.9,6.1,40.8404,-73.9108
09X413,9,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,1221,64,28.4,43.3,455,26.0,42.2,0.2,36.7,57.8,5.3,5.7,8.1,6.0,40.8404,-73.9108
09X505,9,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",1224,80,5.9,7.2,763,27.8,45.9,1.0,30.4,66.2,2.0,6.6,7.6,6.5,40.8276,-73.9187
09X517,9,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,1121,50,4.9,6.8,532,23.0,51.5,0.4,56.2,41.4,1.1,6.4,6.1,6.5,40.8342,-73.904
09X525,9,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,1166,114,5.7,6.0,705,26.9,43.3,0.0,41.1,57.0,0.7,9.6,7.0,6.1,40.8436,-73.9032
09X543,9,HIGH SCHOOL FOR VIOLIN AND DANCE,1039,27,39.9,61.0,323,22.5,14.6,0.0,36.8,62.5,0.3,8.7,6.8,6.6,40.8276,-73.9045
10X141,10,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),1333,113,9.9,13.8,1337,26.8,51.8,24.9,13.0,53.0,8.8,6.7,5.9,5.9,40.8884,-73.9141
10X213,10,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,1150,86,24.1,51.4,444,22.0,82.7,0.9,29.5,64.2,5.2,15.5,6.3,6.5,40.876999999999995,-73.9123
10X225,10,THEATRE ARTS PRODUCTION COMPANY SCHOOL,1190,59,3.2,5.2,524,25.0,30.9,1.1,27.3,69.7,1.1,4.4,6.1,7.7,40.8546,-73.8966
10X237,10,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",1157,79,2.8,2.8,540,25.8,16.5,3.3,35.6,57.4,1.5,6.7,6.0,5.9,40.876,-73.9012
10X243,10,WEST BRONX ACADEMY FOR THE FUTURE,1158,26,3.9,4.6,636,25.0,57.9,1.3,24.7,69.5,3.5,13.2,7.0,6.6,40.86,-73.8882
10X268,10,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,962,52,6.4,7.4,497,29.6,52.3,3.0,5.4,84.7,6.8,88.7,6.9,6.9,40.8704,-73.8982
