DBN,District,School,SAT Score,SAT Test Takers,Percent AP Test Takers,Percent AP Tests Taken,Total Enrollment,Class Size,Percent Male,Percent White,Percent Black,Percent Hispanic,Percent Asian,Percent ELL,Teacher Safety,Student Safety,Lat,Lon
13K499,13,ACORN COMMUNITY HIGH SCHOOL,1116,72,8.8,13.0,731,27.2,55.8,0.8,84.7,12.2,1.2,2.9,6.0,6.0,40.6785,-73.9621
13K527,13,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,1223,s,27.5,42.0,469,24.9,0.0,2.6,79.3,11.7,5.1,1.5,6.8,5.8,40.6946,-73.9886
13K595,13,BEDFORD ACADEMY HIGH SCHOOL,1312,89,11.7,15.5,367,21.8,49.0,0.3,89.4,7.1,2.7,1.1,7.6,6.6,40.6854,-73.9543
13K605,13,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1189,85,3.8,3.8,927,26.7,75.5,1.3,79.8,15.3,2.8,1.9,6.5,5.5,40.6949,-73.986
13K670,13,BENJAMIN BANNEKER ACADEMY,1391,185,14.7,16.6,895,27.9,46.1,0.4,87.0,8.8,2.7,0.0,7.3,6.6,40.6957,-73.9693
13K674,13,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",1353,20,38.5,58.8,335,21.4,79.4,4.5,58.2,26.3,7.5,3.6,6.6,6.4,40.6949,-73.986
14K071,14,JUAN MOREL CAMPOS SECONDARY SCHOOL,1085,102,1.8,1.8,865,30.1,54.7,3.4,15.3,80.6,0.2,24.9,7.1,6.1,40.7036,-73.9532
14K322,14,FOUNDATIONS ACADEMY,1223,s,29.8,37.6,141,20.6,56.7,1.4,66.7,29.8,1.4,5.7,6.0,6.9,40.6971,-73.9467
14K449,14,"BROOKLYN LATIN SCHOOL, THE",1740,72,27.6,42.1,468,23.3,54.9,14.5,26.7,17.9,36.8,0.4,8.5,7.5,40.7099,-73.9437
14K454,14,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,1189,41,32.9,50.3,392,23.7,46.2,2.6,47.7,46.9,2.0,11.5,7.7,6.8,40.7099,-73.9437
14K474,14,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,1114,144,4.7,6.2,1068,25.8,48.5,1.0,32.6,65.4,0.7,16.1,7.2,6.4,40.711999999999996,-73.9404
14K477,14,SCHOOL FOR LEGAL STUDIES,1204,134,3.2,3.6,759,27.4,45.8,1.7,57.7,39.3,0.9,5.7,7.0,5.4,40.711999999999996,-73.9404
14K478,14,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",1215,142,9.6,13.2,976,29.4,65.7,1.9,39.3,55.4,3.2,9.9,7.2,6.0,40.711999999999996,-73.9404
14K488,14,BROOKLYN PREPARATORY HIGH SCHOOL,1090,42,7.0,11.5,400,23.4,47.7,1.0,58.7,37.7,1.7,2.7,6.9,6.4,40.715,-73.9546
14K558,14,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,1112,72,6.0,9.6,500,25.4,72.6,2.2,38.4,57.2,1.4,7.0,8.4,7.8,40.715,-73.9546
14K561,14,WILLIAMSBURG PREPARATORY SCHOOL,1187,113,5.4,7.1,577,25.4,51.0,11.1,25.5,61.5,1.6,2.8,8.1,7.2,40.715,-73.9546
14K586,14,LYONS COMMUNITY SCHOOL,1103,31,24.5,37.4,527,20.8,53.7,2.1,41.7,54.6,1.1,14.6,8.1,6.9,40.7099,-73.9437
14K610,14,AUTOMOTIVE HIGH SCHOOL,1093,94,17.8,27.2,723,25.6,95.6,1.7,66.1,30.2,1.4,4.7,5.4,5.3,40.7226,-73.9526
14K632,14,FRANCES PERKINS ACADEMY,1122,12,74.6,113.9,173,17.3,76.9,4.0,64.7,31.2,0.0,9.8,5.6,7.1,40.7226,-73.9526
14K685,14,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,1035,28,59.2,90.4,218,22.3,42.7,0.5,10.1,87.6,1.8,17.0,8.6,7.8,40.7058,-73.9557
15K429,15,BROOKLYN SCHOOL FOR GLOBAL STUDIES,1111,52,36.4,55.6,354,25.3,56.2,3.4,54.5,39.0,2.3,5.9,5.9,6.1,40.6855,-73.9935
15K448,15,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,1179,76,18.6,28.5,692,23.1,59.1,12.6,34.2,48.1,4.3,4.5,6.7,6.7,40.6799,-74.0015
15K462,15,SECONDARY SCHOOL FOR LAW,1203,59,27.3,41.6,473,25.9,44.2,5.5,62.4,29.6,2.5,6.3,6.5,5.5,40.6696,-73.9793
15K463,15,SECONDARY SCHOOL FOR JOURNALISM,1169,58,6.5,6.5,336,23.8,42.3,5.4,42.0,43.2,9.2,16.7,6.6,5.8,40.6696,-73.9793
15K464,15,PARK SLOPE COLLEGIATE,1175,72,32.7,50.0,394,26.7,52.8,5.3,33.2,51.8,8.6,9.6,6.9,6.2,40.6696,-73.9793
15K497,15,SCHOOL FOR INTERNATIONAL STUDIES,1212,64,6.2,7.0,486,23.5,50.8,14.0,40.9,38.9,6.2,14.6,6.3,6.7,40.6855,-73.9935
15K519,15,COBBLE HILL SCHOOL OF AMERICAN STUDIES,1185,77,3.8,5.4,663,26.9,43.9,2.3,71.5,21.0,5.1,7.5,6.0,5.6,40.6846,-73.9911
15K656,15,BROOKLYN HIGH SCHOOL OF THE ARTS,1258,141,19.0,29.1,678,26.8,33.9,2.2,76.5,19.0,1.8,0.1,7.2,6.6,40.6837,-73.9805
15K667,15,SUNSET PARK HIGH SCHOOL,1223,s,13.1,19.9,988,26.9,50.7,6.7,7.8,80.8,4.7,14.4,7.0,6.4,40.656,-74.0055
16K393,16,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,1068,20,29.4,44.9,439,22.3,48.7,0.5,83.6,14.1,0.9,1.4,6.2,6.1,40.6921,-73.9315
16K455,16,BOYS AND GIRLS HIGH SCHOOL,1097,131,1.3,2.0,1631,26.5,61.7,0.7,90.0,7.8,0.5,2.5,5.9,6.1,40.6794,-73.9324
16K498,16,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,1092,46,12.1,19.8,405,26.6,51.6,0.0,72.8,24.9,1.0,4.7,7.0,6.4,40.6889,-73.9211
16K688,16,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,1223,s,81.1,123.9,159,21.5,51.6,2.5,74.2,20.8,1.9,6.3,3.9,4.9,40.6915,-73.9337
17K382,17,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,1139,59,11.3,14.5,565,24.8,53.8,1.1,92.0,6.7,0.2,5.0,6.6,5.5,40.6494,-73.9584
17K408,17,ACADEMY OF HOSPITALITY AND TOURISM,1045,57,40.4,61.8,319,25.1,49.8,0.9,84.3,12.9,1.6,12.9,7.4,5.5,40.6494,-73.9584
17K524,17,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,913,71,32.2,49.1,401,23.8,59.1,14.2,29.2,27.9,28.4,91.0,7.7,7.4,40.6703,-73.9616
17K528,17,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,1176,46,5.8,9.9,343,26.4,50.1,1.5,89.2,7.3,1.5,5.2,5.2,6.1,40.6703,-73.9616
17K531,17,"SCHOOL FOR HUMAN RIGHTS, THE",1088,35,33.4,51.0,386,30.9,51.6,1.6,88.9,8.3,0.8,6.2,9.0,6.8,40.6595,-73.9425
17K533,17,SCHOOL FOR DEMOCRACY AND LEADERSHIP,1153,38,31.8,48.5,406,23.2,52.0,1.5,89.4,8.4,0.5,3.7,5.0,5.6,40.6595,-73.9425
17K537,17,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,1027,73,5.5,9.6,385,23.0,61.6,1.0,87.3,9.1,1.0,9.1,6.3,5.5,40.6494,-73.9584
17K539,17,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,1105,61,30.6,46.7,422,27.9,63.3,1.7,87.0,9.0,2.1,8.8,7.6,5.5,40.6494,-73.9584
17K543,17,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",1360,69,24.8,37.8,521,23.1,53.0,1.3,83.9,9.4,3.1,0.0,6.5,6.6,40.6494,-73.9584
17K546,17,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,1273,79,25.4,31.2,417,23.1,24.9,0.7,82.5,12.2,3.6,0.5,7.9,6.4,40.6595,-73.9425
17K547,17,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,1143,63,10.4,12.5,471,21.4,54.4,1.5,79.6,14.2,4.0,6.8,5.8,5.7,40.6703,-73.9616
17K548,17,BROOKLYN SCHOOL FOR MUSIC & THEATRE,1151,48,9.0,10.0,412,26.1,32.8,1.0,82.8,15.3,1.0,0.5,6.5,5.9,40.6703,-73.9616
17K590,17,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,1436,165,24.6,45.9,1104,27.6,41.8,0.0,95.7,2.8,0.9,0.0,8.6,5.7,40.6672,-73.9509
17K600,17,CLARA BARTON HIGH SCHOOL,1251,259,8.4,13.1,1608,29.3,23.8,0.7,91.2,5.8,1.8,8.3,7.3,5.9,40.6703,-73.9617
18K563,18,IT TAKES A VILLAGE ACADEMY,963,56,33.8,51.6,382,20.8,49.0,0.5,92.9,4.5,1.8,30.4,8.0,6.1,40.6487,-73.9219
18K566,18,BROOKLYN GENERATION SCHOOL,1145,29,39.0,59.5,331,19.9,61.0,0.9,88.8,8.5,1.5,5.7,5.5,6.0,40.6326,-73.9178
18K567,18,BROOKLYN THEATRE ARTS HIGH SCHOOL,1118,54,33.8,51.6,382,26.1,36.1,2.1,84.3,12.8,0.5,5.0,6.8,5.8,40.6326,-73.9178
18K569,18,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,1092,43,43.9,67.0,294,26.1,64.3,1.7,88.1,8.8,0.0,9.5,6.2,6.3,40.6487,-73.9219
18K576,18,VICTORY COLLEGIATE HIGH SCHOOL,1143,63,39.7,60.6,325,25.0,48.9,0.0,93.5,5.8,0.3,5.2,7.5,6.6,40.6326,-73.9178
18K589,18,ARTS & MEDIA PREPARATORY ACADEMY,1080,48,44.0,67.2,293,20.0,47.4,0.0,89.4,9.6,0.7,3.4,6.7,6.2,40.6585,-73.929
18K617,18,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,1183,37,41.6,63.5,310,19.6,66.5,1.3,85.8,10.6,1.3,8.1,7.2,6.6,40.6418,-73.8987
18K629,18,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,1169,33,43.1,65.9,299,18.4,51.5,0.7,86.6,11.4,1.3,7.7,6.8,6.0,40.6487,-73.9219
18K633,18,HIGH SCHOOL FOR MEDICAL PROFESSIONS,1159,75,28.0,42.8,460,27.0,21.5,0.2,85.0,12.4,1.7,3.3,7.1,6.3,40.6418,-73.8987
18K637,18,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,1111,35,47.1,71.9,274,19.6,54.7,1.5,83.9,12.0,2.2,6.9,7.2,6.1,40.6326,-73.9178
18K642,18,URBAN ACTION ACADEMY,1135,40,42.3,64.6,305,20.6,62.6,3.9,82.3,10.5,2.3,11.1,6.8,6.1,40.6418,-73.8987
19K409,19,EAST NEW YORK FAMILY ACADEMY,1242,54,29.8,45.5,433,19.1,43.2,1.4,67.2,30.3,0.5,0.5,8.1,6.7,40.6606,-73.8863
19K502,19,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,1023,37,33.9,51.7,381,23.5,81.1,1.6,73.8,23.4,1.0,5.0,5.0,5.4,40.6676,-73.8948
19K504,19,HIGH SCHOOL FOR CIVIL RIGHTS,1054,47,3.0,4.5,401,26.2,54.4,1.0,74.3,22.2,2.0,9.7,7.9,6.4,40.6676,-73.8948
19K507,19,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,1149,61,28.5,43.5,453,24.6,51.4,0.0,81.5,17.4,0.7,4.9,7.6,6.5,40.6676,-73.8948
19K510,19,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,1106,68,5.8,5.8,380,24.0,36.8,1.3,81.1,14.2,2.1,4.2,5.8,5.3,40.6676,-73.8948
19K583,19,MULTICULTURAL HIGH SCHOOL,887,29,10.8,10.8,406,23.8,49.8,0.0,0.2,99.8,0.0,94.6,6.1,7.1,40.6911,-73.8684
19K615,19,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1193,182,10.5,12.5,1317,27.0,84.1,1.5,70.5,23.2,4.4,2.4,6.2,5.3,40.6782,-73.876
19K618,19,ACADEMY OF INNOVATIVE TECHNOLOGY,1096,60,31.9,48.8,404,23.3,70.3,3.0,38.4,50.2,7.4,12.1,6.6,6.4,40.6911,-73.8684
19K639,19,BROOKLYN LAB SCHOOL,1108,57,32.5,49.6,397,25.3,58.4,1.3,30.7,65.0,1.5,15.4,4.9,5.6,40.6911,-73.8684
19K659,19,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,1129,51,4.8,4.8,437,23.8,47.8,1.4,16.9,73.2,8.2,16.2,5.7,6.6,40.6911,-73.8684
19K660,19,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1102,74,7.8,7.8,590,25.3,29.8,0.7,71.9,25.4,0.5,5.3,7.0,5.8,40.6742,-73.8965
19K683,19,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",1157,38,41.5,63.3,311,25.8,37.6,0.6,54.3,34.7,10.0,9.0,7.3,6.7,40.6707,-73.8742
20K445,20,NEW UTRECHT HIGH SCHOOL,1272,456,5.3,8.3,3276,27.9,59.3,30.5,5.5,28.0,35.9,23.0,7.8,7.0,40.6134,-74.0037
20K485,20,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,1323,238,19.6,32.3,1280,30.4,53.5,16.8,9.5,54.1,19.2,4.9,8.2,7.0,40.6372,-74.0238
20K490,20,FORT HAMILTON HIGH SCHOOL,1306,694,8.4,13.5,4275,28.3,53.4,34.2,5.0,30.2,30.3,21.2,7.7,7.1,40.6279,-74.04
20K505,20,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,1244,385,7.3,10.9,3108,27.9,58.4,18.6,9.4,27.3,44.2,39.4,7.6,6.8,40.6203,-73.982
20K609,20,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,1223,s,34.5,52.7,374,12.6,0.0,9.1,33.7,21.9,35.0,15.5,7.8,7.7,40.6349,-73.9815
21K337,21,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,1026,54,37.6,57.4,343,17.2,58.9,22.7,14.0,21.0,42.0,89.2,7.5,7.6,40.5936,-73.9847
21K344,21,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,1237,54,7.1,13.3,481,25.9,53.6,37.6,24.1,25.8,12.3,11.0,6.5,6.3,40.5821,-73.9729
21K348,21,HIGH SCHOOL OF SPORTS MANAGEMENT,1164,39,2.7,2.7,370,26.4,88.9,5.9,68.4,23.0,2.7,2.4,7.3,6.0,40.5936,-73.9847
21K410,21,ABRAHAM LINCOLN HIGH SCHOOL,1226,475,5.1,7.4,2595,27.7,56.4,25.1,35.1,20.1,19.3,16.7,7.1,6.0,40.5823,-73.9675
21K468,21,KINGSBOROUGH EARLY COLLEGE SCHOOL,1223,s,27.3,41.7,472,24.6,57.8,44.7,25.0,22.7,7.2,2.8,7.4,6.4,40.5936,-73.9847
21K525,21,EDWARD R. MURROW HIGH SCHOOL,1431,727,9.9,14.3,4022,30.3,42.4,30.8,24.1,17.6,27.1,9.1,7.5,7.0,40.6205,-73.9592
21K540,21,JOHN DEWEY HIGH SCHOOL,1262,448,10.7,17.1,2168,28.4,51.5,10.8,30.6,19.1,39.1,19.6,6.4,6.4,40.5892,-73.9817
21K559,21,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,1124,40,51.4,78.5,251,24.2,51.0,20.3,44.6,29.9,4.8,4.8,6.0,6.2,40.5936,-73.9847
21K572,21,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,1079,40,57.1,87.2,226,21.2,51.3,19.5,19.5,41.2,19.5,21.7,7.4,6.4,40.5936,-73.9847
21K620,21,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,1184,95,13.5,20.6,956,25.6,78.0,6.9,74.9,14.0,3.2,3.1,8.3,5.5,40.5825,-73.9637
21K690,21,BROOKLYN STUDIO SECONDARY SCHOOL,1313,119,4.5,4.9,876,26.6,50.1,56.5,7.2,23.1,12.8,8.4,6.4,6.5,40.6049,-73.9944
22K405,22,MIDWOOD HIGH SCHOOL,1473,824,19.4,31.8,3842,32.0,45.3,21.2,35.2,11.7,31.7,3.7,7.4,6.5,40.6333,-73.9529
22K425,22,JAMES MADISON HIGH SCHOOL,1350,518,10.5,15.1,3076,30.5,54.4,46.4,17.9,14.5,20.8,13.2,8.2,6.5,40.6098,-73.9485
